Test,Client,Metric,Phase,Value
BigBlock,Besu - Lighthouse,Median Net TX MB/s,Phase 1,6.16
BigBlock,Equalweight - Lighthouse,Median Net TX MB/s,Phase 1,5.68
BigBlock,Geth - Lighthouse,Median Net TX MB/s,Phase 1,5.32
BigBlock,Mainnet - Lighthouse,Median Net TX MB/s,Phase 1,5.19
BigBlock,Nethermind - Lighthouse,Median Net TX MB/s,Phase 1,5.43
BigBlock,Besu - Lighthouse,Median Net TX MB/s,Phase 2,50.50
BigBlock,Equalweight - Lighthouse,Median Net TX MB/s,Phase 2,49.56
BigBlock,Geth - Lighthouse,Median Net TX MB/s,Phase 2,48.65
BigBlock,Mainnet - Lighthouse,Median Net TX MB/s,Phase 2,48.15
BigBlock,Nethermind - Lighthouse,Median Net TX MB/s,Phase 2,49.13
BigBlock,Besu - Lighthouse,Median RAM GB,Phase 1,8.64
BigBlock,Equalweight - Lighthouse,Median RAM GB,Phase 1,5.22
BigBlock,Geth - Lighthouse,Median RAM GB,Phase 1,1.41
BigBlock,Mainnet - Lighthouse,Median RAM GB,Phase 1,4.56
BigBlock,Nethermind - Lighthouse,Median RAM GB,Phase 1,6.94
BigBlock,Besu - Lighthouse,Median RAM GB,Phase 2,12.67
BigBlock,Equalweight - Lighthouse,Median RAM GB,Phase 2,9.28
BigBlock,Geth - Lighthouse,Median RAM GB,Phase 2,5.00
BigBlock,Mainnet - Lighthouse,Median RAM GB,Phase 2,8.11
BigBlock,Nethermind - Lighthouse,Median RAM GB,Phase 2,9.59
BigBlock,Besu - Lighthouse,Median RAM GB per node,Phase 1,0.7205
BigBlock,Equalweight - Lighthouse,Median RAM GB per node,Phase 1,0.4358
BigBlock,Geth - Lighthouse,Median RAM GB per node,Phase 1,0.1179
BigBlock,Mainnet - Lighthouse,Median RAM GB per node,Phase 1,0.3805
BigBlock,Nethermind - Lighthouse,Median RAM GB per node,Phase 1,0.5786
BigBlock,Besu - Lighthouse,Median RAM GB per node,Phase 2,1.05
BigBlock,Equalweight - Lighthouse,Median RAM GB per node,Phase 2,0.7738
BigBlock,Geth - Lighthouse,Median RAM GB per node,Phase 2,0.4167
BigBlock,Mainnet - Lighthouse,Median RAM GB per node,Phase 2,0.6758
BigBlock,Nethermind - Lighthouse,Median RAM GB per node,Phase 2,0.7992
BigBlock,Besu - Lighthouse,Median Spam Confirmed,Phase 1,150.00
BigBlock,Equalweight - Lighthouse,Median Spam Confirmed,Phase 1,150.00
